Fecha,Mes,Maquina,Pacas producidas,Horas trabajadas,Tiempo de Paro,Turno INICIO,Turno FINAL
2023-02-28 00:00:00.000,"febrero","Vinilos_4",42,8,0.25,,
2023-02-27 00:00:00.000,"febrero","Vinilos_3",86,8,0.25,,
2023-02-27 00:00:00.000,"febrero","Vinilos_4",58,8,0.25,,
2023-02-26 00:00:00.000,"febrero","Vinilos_3",32,8,0.25,,
2023-02-25 00:00:00.000,"febrero","Vinilos_3",58,8,0.25,,
2023-02-24 00:00:00.000,"febrero","Vinilos_3",52,8,0.25,,
2023-02-23 00:00:00.000,"febrero","Vinilos_3",62,8,0.25,,
2023-02-23 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2023-02-23 00:00:00.000,"febrero","Vinilos_4",52,8,0.25,,
2023-02-22 00:00:00.000,"febrero","Vinilos_4",62,8,0.25,,
2023-02-21 00:00:00.000,"febrero","Vinilos_4",62,8,0.25,,
2023-02-20 00:00:00.000,"febrero","Vinilos_3",57,8,0.25,,
2023-02-20 00:00:00.000,"febrero","Vinilos_4",62,8,0.25,,
2023-02-19 00:00:00.000,"febrero","Vinilos_3",57,8,0.25,,
2023-02-19 00:00:00.000,"febrero","Vinilos_3",48,8,0.25,,
2023-02-18 00:00:00.000,"febrero","Vinilos_3",42,8,0.25,,
2023-02-18 00:00:00.000,"febrero","Vinilos_4",62,8,0.25,,
2023-02-17 00:00:00.000,"febrero","Vinilos_3",62,8,0.25,,
2023-02-16 00:00:00.000,"febrero","Vinilos_3",60,8,0.25,,
2023-02-15 00:00:00.000,"febrero","Vinilos_3",62,8,0.25,,
2023-02-15 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2023-02-14 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2023-02-14 00:00:00.000,"febrero","Vinilos_4",63,8,0.25,,
2023-02-13 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2023-02-13 00:00:00.000,"febrero","Vinilos_3",62,8,0.25,,
2023-02-12 00:00:00.000,"febrero","Vinilos_3",59,8,0.25,,
2023-02-12 00:00:00.000,"febrero","Vinilos_3",52,8,0.25,,
2023-02-12 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2023-02-11 00:00:00.000,"febrero","Vinilos_3",61,8,0.25,,
2023-02-11 00:00:00.000,"febrero","Vinilos_3",59,8,0.25,,
2023-02-11 00:00:00.000,"febrero","Vinilos_4",88,8,0.25,,
2023-02-10 00:00:00.000,"febrero","Vinilos_3",59,8,0.25,,
2023-02-10 00:00:00.000,"febrero","Vinilos_4",83,8,0.25,,
2023-02-08 00:00:00.000,"febrero","Vinilos_3",50,8,0.25,,
2023-02-07 00:00:00.000,"febrero","Vinilos_3",54,8,0.25,,
2023-02-07 00:00:00.000,"febrero","Vinilos_4",46,8,0.25,,
2023-02-06 00:00:00.000,"febrero","Vinilos_3",50,8,0.25,,
2023-02-05 00:00:00.000,"febrero","Vinilos_3",48,8,0.25,,
2023-02-04 00:00:00.000,"febrero","Vinilos_3",43,8,0.25,,
2023-02-02 00:00:00.000,"febrero","Vinilos_4",52,8,0.25,,
2023-02-01 00:00:00.000,"febrero","Vinilos_3",47,8,0.25,,
2022-02-26 00:00:00.000,"febrero","Vinilos_3",81,8,0.25,,
2022-02-24 00:00:00.000,"febrero","Vinilos_3",53,8,0.25,,
2022-02-23 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2022-02-22 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2022-02-21 00:00:00.000,"febrero","Vinilos_3",61,8,0.25,,
2022-02-21 00:00:00.000,"febrero","Vinilos_4",85,8,0.25,,
2022-02-21 00:00:00.000,"febrero","Vinilos_4",86,8,0.25,,
2022-02-20 00:00:00.000,"febrero","Vinilos_3",54,8,0.25,,
2022-02-17 00:00:00.000,"febrero","Vinilos_1",40,8,0.25,,
2022-02-15 00:00:00.000,"febrero","Vinilos_1",42,8,0.25,,
2022-02-15 00:00:00.000,"febrero","Vinilos_1",43,8,0.25,,
2022-02-12 00:00:00.000,"febrero","Vinilos_4",77,8,0.25,,
2022-02-11 00:00:00.000,"febrero","Vinilos_3",82,8,0.25,,
2022-02-10 00:00:00.000,"febrero","Vinilos_4",76,8,0.25,,
2022-02-10 00:00:00.000,"febrero","Vinilos_4",74,8,0.25,,
2022-02-08 00:00:00.000,"febrero","Vinilos_3",66,8,0.25,,
2022-02-08 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2022-02-08 00:00:00.000,"febrero","Vinilos_3",64,8,0.25,,
2022-02-08 00:00:00.000,"febrero","Vinilos_4",80,8,0.25,,
2022-02-07 00:00:00.000,"febrero","Vinilos_3",63,8,0.25,,
2022-02-05 00:00:00.000,"febrero","Vinilos_4",78,8,0.25,,
